participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,
5822,1,1,0,2,Hours,1,White,Female,,
5822,2,1,0,5,Hours,1,White,Female,,
5822,3,1,0,1,Days,1,White,Female,,
5822,4,1,0,1,Days,1,White,Female,,
5822,5,1,0,2,Days,1,White,Female,,
5822,6,1,0,2,Days,1,Asian,Male,,
5822,7,1,0,2,Days,1,White,Male,,
5822,8,1,0,3,Days,1,White,Female,,
5822,9,0,1,3,Days,1,Hispanic,Female,,
5822,10,1,0,7,Days,1,White,Female,,
8865,1,1,0,37,Days,1,White,Male,,
8865,2,1,0,44,Days,1,White,Female,,
8865,3,1,0,44,Days,1,White,Female,,
8865,4,0,1,45,Days,1,White,Female,,
8865,5,0,1,46,Days,1,White,Male,,
8865,6,1,0,48,Days,1,White,Male,,
8865,7,0,1,49,Days,1,White,Female,,
8865,8,1,0,49,Days,1,White,Female,,
8865,9,1,0,49,Days,1,White,Female,,
8865,10,1,0,49,Days,1,White,Female,,
5844,1,1,0,,,1,White,Female,January 23,
5844,2,1,0,,,1,White,Male,January 23 2017,
5844,3,1,0,,,1,White,Male,Dec 31 2016,
5844,4,1,0,,,1,White,Female,September 17 2016,
5844,5,1,0,,,1,White,Female,August 30 2017,
5844,6,1,0,,,1,White,Female,August 23 2016,
5844,7,1,0,,,1,White,Female,August 16 2016,
5844,8,1,0,,,1,White,Male,August 10 2016,
5844,9,1,0,,,1,White,Male,August 7 2016,
5844,10,1,0,,,1,White,Female,August 7 2016,
6573,1,1,0,8,Days,1,White,Female,,
6573,2,1,0,27,Days,1,White,Female,,
6573,3,1,0,32,Days,1,White,Female,,
6573,4,1,0,62,Days,1,White,Male,,
6573,5,1,0,82,Days,1,White,Male,,
6573,6,1,0,,,1,White,Male,"Tenure - 109 Days, posted on July 8th",
6573,7,1,0,,,0,,,"Tenure - 151 Days, posted on May 26th; Participant said they 'accidentally' liked the post",
6573,8,0,1,,,1,White,Female,"Tenure - 159 Days, posted on May 18th",
6573,9,1,0,,,1,White,Female,"Tenure - 164 Days, posted on May 13th",
6573,10,1,0,,,1,White,Male,"Tenure - 167 Days, posted on May 10th",
9029,1,1,0,4,hours,0,,,,
9029,2,1,0,7,Hours,0,,,,
9029,3,1,0,7,Hours,0,,,,
9029,4,1,0,1,Days,0,,,,
9029,5,1,0,1,Days,0,,,,
9029,6,1,0,1,Days,0,,,,
9029,7,1,0,3,Days,0,,,,
9029,8,1,0,3,Days,1,Black or African American,Female,,
9029,9,1,0,3,Days,1,Black or African American,Female,,
9029,10,1,0,3,Days,1,Black or African American,Female,,
3141,1,1,0,22,Hours,1,Black or African American,Female,,
3141,2,1,0,17,Hours,1,Black or African American,Female,,
3141,3,1,0,23,Hours,1,Black or African American,Female,,
3141,4,1,0,1,Days,1,White,Female,,
3141,5,1,0,2,Days,1,White,Female,,
3141,6,1,0,2,Days,1,Asian,Female,,
3141,7,1,0,2,Days,1,White,Female,,
3141,8,1,0,2,Days,1,White,Female,,
3141,9,1,0,3,Days,1,White,Female,,
3141,10,1,0,3,Days,1,White,Female,,
8097,1,0,1,3,Hours,1,Black or African American,Female,,
8097,2,1,0,3,Hours,1,Black or African American,Male,,
8097,3,1,0,3,Hours,0,,,,
8097,4,0,1,3,Hours,1,Other,Non-binary,Unidentifiable ,
8097,5,0,1,4,Hours,1,White,Female,,
8097,6,0,1,4,Hours,1,Other,Non-binary,Unidentifiable ,
8097,7,1,0,4,Hours,1,White,Female,,
8097,8,0,1,1,Days,1,Black or African American,Male,,
8097,9,0,1,3,Days,1,White,Female,,
8097,10,0,1,3,Days,1,Black or African American,Male,,
5363,1,0,0,16,Hours,1,Hispanic,Female,Participant saved this post for later,
5363,2,0,1,5,Days,1,White,Female,Group A,
5363,3,0,1,1,Days,1,,,Group A; Unidentifiable,
5363,4,1,0,1,Days,1,White,Male,,
5363,5,1,0,2,Days,1,White,Female,Group C,
5363,6,1,0,2,Days,1,White,Female,,
5363,7,0,0,3,Days,1,White,Female,Group B; Participant saved this post for later,
5363,8,0,0,3,Days,1,White,Male,Group E,
5363,9,1,0,5,Days,1,White,Male,,
5363,10,1,0,5,Days,1,White,Female,,
3817,1,1,0,6,Days,1,Asian,Female,,
3817,2,1,0,7,Days,0,,,,
3817,3,1,0,8,Days,1,White,Female,,
3817,4,1,0,8,Days,1,Asian,Female,,
3817,5,1,0,23,Days,1,Asian,Female,,
3817,6,1,0,26,Days,1,White,Female,,
3817,7,1,0,28,Days,1,Asian,Female,,
3817,8,1,0,44,Days,1,Asian,Female,,
3817,9,1,0,46,Days,1,White,Female,,
3817,10,1,0,54,Days,1,Asian,Male,,
1736,1,1,0,9,Days,1,White,Female,,
1736,2,1,0,10,Days,1,White,Female,,
1736,3,1,0,13,Days,1,White,Female,,
1736,4,1,0,16,Days,1,Asian,Female,,
1736,5,1,0,17,Days,1,Asian,Female,,
1736,6,1,0,18,Days,1,Asian,Female,,
1736,7,1,0,18,Days,1,Asian,Female,,
1736,8,1,0,18,Days,1,Hispanic,Male,,
1736,9,1,0,20,Days,1,Asian,Female,,
1736,10,1,0,21,Days,1,Asian,Female,,
6258,1,1,0,1,Days,0,,,Page A,
6258,2,1,0,1,Days,0,,,Page B,
6258,3,1,0,1,Days,0,,,Page A,
6258,4,1,0,1,Days,0,,,Page A,
6258,5,1,0,84,Days,0,,,,
6258,6,1,0,1,Days,0,,,Page B,
6258,7,1,0,7,Days,1,Black or African American,Female,,
6258,8,1,0,8,Days,1,Black or African American,Male,,
6258,9,1,0,8,Days,1,Black or African American,Male,,
6258,10,1,0,9,Days,1,Black or African American,Female,,
6947,1,1,0,1,Days,1,Black or African American,Female,,
6947,2,1,0,23,Days,1,Black or African American,Female,,
6947,3,1,0,70,Days,1,Hispanic,Female,,
6947,4,1,0,70,Days,1,Hispanic,Female,,
6947,5,0,1,90,Days,0,,,,
6947,6,0,1,90,Days,0,,,,
6947,7,0,1,90,Days,0,,,,
6947,8,0,1,90,Days,0,,,,
6947,9,0,1,90,Days,0,,,,
6947,10,0,1,90,Days,0,,,,
8823,1,1,0,3,d,1,White,Male,,
8823,2,1,0,5,Days,1,White,Male,,
8823,3,1,0,5,Days,0,,,,
8823,4,1,0,5,Days,1,White,Male,,
8823,5,1,0,5,Days,1,White,Female,,
8823,6,1,0,7,Days,1,,,Unidentifiable,
8823,7,1,1,8,Days,1,Asian,Male,,
8823,8,1,0,8,Days,0,,,,
8823,9,1,0,8,Days,1,,,Unidentifiable,
8823,10,1,0,8,Days,1,,,Unidentifiable,
5481,1,1,0,31,Days,1,Hispanic,Female,,
5481,2,1,0,72,Days,1,White,Female,,
