participant_id,order,preference (1-7),post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),event (y/n),race_RA_1,race_RA_2,gender,Notes,manual_diag
1947,1,1,32,Minutes,1,0,1,0,White,,Female,,0
1947,2,2,21,Hours,1,1,0,0,White,,Female,,0
1947,3,6,18,Minutes,1,1,0,0,White,,Female,,0
1947,4,1,37,Minutes,1,0,1,0,White,,Female,,0
1947,5,1,10,Hours,1,0,0,0,Hispanic,,Female,,0
1947,6,1,5,Days,1,0,0,0,White,,Female,,0
1947,7,2,4,Days,1,0,0,0,White,,Male,,0
1947,8,6,3,Days,1,0,1,0,Hispanic,,Female,,0
1947,9,1,4,Days,1,0,0,0,Hispanic,,Female,,0
1947,10,1,2,Days,1,0,0,0,Hispanic,,Female,,0
1947,11,5,1,Hours,1,0,0,1,White,,Female,,0
1947,12,1,9,Minutes,1,1,1,1,White,,Female,,0
1947,13,1,2,Hours,1,0,0,0,White,,Female,,0
1947,14,1,4,Days,1,0,0,0,White,,Female,,0
1947,15,2,5,Days,1,0,0,0,White,,Female,,0
1947,16,1,5,Days,1,0,0,0,White,,Female,,0
1947,17,1,1,Hours,1,1,0,0,White,,Female,,0
1947,18,1,2,Hours,1,0,0,0,White,,Female,,0
1947,19,1,18,Hours,1,0,0,0,Hispanic,,Female,,0
1947,20,1,12,Minutes,1,1,0,0,Black or African American,,Male,,0
1947,21,1,6,Hours,1,1,0,0,Asian,,Male,,0
1947,22,1,18,Hours,1,0,0,0,Hispanic,,Female,,0
1947,23,1,3,Hours,1,0,0,0,White,,Female,,0
1947,24,3,9,Hours,1,0,0,0,White,,Female,,0
1947,25,1,12,Hours,1,0,0,0,White,,Female,,0
1947,26,1,3,Hours,1,1,0,0,White,,Male,,0
1947,27,2,4,Days,1,0,0,0,White,,Female,,0
1947,28,6,5,Days,1,0,0,1,White,,Female,,0
1947,29,1,22,Minutes,1,1,0,0,White,,Female,,0
1947,30,1,4,Days,1,0,0,0,White,,Male,,0
1947,31,7,6,Days,1,0,0,1,White,,Female,,0
1947,32,6,5,Days,1,0,0,1,White,,Female,,0
1947,33,7,2,Days,1,0,0,1,White,,Female,,0
1947,34,2,5,Days,1,0,0,0,Black or African American,,Female,,0
1947,35,1,1,Days,1,0,0,0,Hispanic,,Female,,0
1947,36,1,1,Hours,1,1,0,0,Asian,,Male,,0
1947,37,2,16,Hours,1,0,0,0,White,,Female,,0
1947,38,4,4,Days,1,0,0,0,White,,Female,,0
1947,39,6,10,Hours,1,0,0,0,White,,Female,,0
1947,40,4,5,Days,1,0,0,1,White,,Female,,0
1947,41,1,6,Minutes,1,0,0,0,White,,Male,,0
1947,42,7,3,Minutes,1,0,0,0,White,,Female,,0
1947,43,1,9,Minutes,1,1,0,0,White,,Female,,0
1947,44,1,2,Days,1,0,0,0,Hispanic,,Female,,0
1947,45,1,51,Minutes,1,0,0,0,Hispanic,,Male,,0
1947,46,1,18,Hours,1,0,0,0,Hispanic,,Female,,0
1947,47,1,16,Minutes,1,0,0,0,White,,Male,,0
1947,48,2,2,Days,1,0,0,0,White,,Female,,0
1947,49,2,3,Days,1,0,0,0,White,,Female,,0
1947,50,6,2,Days,1,0,0,1,White,,Female,,0
1947,51,7,2,Days,1,1,0,0,White,,Female,,0
1947,52,1,20,Hours,1,0,0,0,White,,Female,,0
1947,53,7,17,Hours,1,1,0,0,White,,Female,,0
1947,54,1,14,Hours,1,1,0,0,Hispanic,,Male,,0
1947,55,6,14,Hours,1,0,0,1,White,,Female,,0
1947,56,1,3,Days,1,0,0,0,White,,Female,,0
1947,57,1,1,Hours,1,1,0,0,Hispanic,,Female,,0
1947,58,1,10,Hours,1,0,0,0,Hispanic,,Female,,0
1947,59,3,2,Days,1,0,0,0,Black or African American,,Female,,0
1947,60,4,1,Hours,1,1,0,0,White,,Female,,0
3163,1,4,11,Minutes,1,0,0,0,Other,,Female,,0
3163,2,1,6,Hours,1,0,0,0,Hispanic,,Female,,0
3163,3,4,10,Hours,1,0,0,0,Other,,Female,,0
3163,4,5,1,Days,0,0,0,0,,,,,0
3163,5,2,21,Hours,1,0,0,0,Other,,Male,,0
3163,6,1,19,Hours,1,0,0,0,Other,,Male,,0
3163,7,5,4,Hours,0,,,,,,,,0
3163,8,2,19,Minutes,1,0,0,0,Other,,Male,,0
3163,9,6,3,Hours,1,0,0,0,Other,,Male,,0
3163,10,4,2,Hours,1,0,0,0,Other,,Female,,0
3163,11,2,3,Hours,1,1,0,0,White,,Female,,0
3163,12,5,20,Hours,1,1,0,0,Other,,Male,,0
3163,13,1,1,Days,1,0,0,0,Asian,,Male,,0
3163,14,4,10,Hours,1,1,0,0,Asian,,Male,,0
3163,15,5,14,Hours,1,0,0,0,Other,,Female,,0
3163,16,4,8,Hours,1,0,0,0,Other,,Male,,0
3163,17,3,55,Minutes,1,0,0,0,Other,,Female,,0
3163,18,3,23,Hours,1,0,0,0,Other,,Female,,0
