StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,free_text1,free_text2,access1,access2,cog_effort1,cog_effort2,influence1,influence2,gut1,gut2,careful1,careful2,awareness1,awareness2,intention1,intention2,controllability1,controllability2,efficiency1,efficiency2,speed1,speed2,race,race_free,gender,age,education,Q31,Q35,Q32,Q36,Q33,MTurkCode,workerId,PROLIFIC_PID,condition1,c_text1,condition2,c_text2,intentiontext1,intentiontext2,FL_11_DO,FL_27_DO
2020-09-02 17:33:21,2020-09-02 17:51:14,0,100.19.113.99,100,1072,1,2020-09-02 17:51:14,R_3Rs8td7Vsr9qFkF,,,,,40.2480010986328125,-75.45670318603515625,anonymous,EN,1,If this is funny or does it have some meaning to it.  ,If it is someone I know I will add.  If I don't know them I look at their profile usually if they have no friends I don't want them as a friend.,2,1,5,3,3,5,1,1,1,1,2,2,4,4,2,5,4,5,3,2,1,"I am White, not anything else",2,56,2,2,2,2,2,1,6764,,5e0b0c7ec76aa635313ce9b8,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,outsideinfluence|Access|Cognitiveeffort|Speed|Gutreaction|Controllability|intentionality|Efficiency|FreeText|carefulconsideration|awareness
2020-09-02 17:43:17,2020-09-02 17:51:16,0,107.147.38.176,100,478,1,2020-09-02 17:51:16,R_1pYCXuFDsqQYtPn,,,,,40.5366058349609375,-85.65789794921875,anonymous,EN,1,"If I have had many interactions with the person and feel like I know them well, I am willing to add them first. If I am not comfortable with the person, I will typically not be the first to make the move to become their friend. If they want to be mine, they can add me first. ","If I feel a strong connection to the post, I will typically like it. If I am good friends with the person posting, I will like it as well. Otherwise, I'm debating whether I will like it or not. ",2,2,7,5,2,1,2,1,1,1,2,2,2,1,1,1,1,2,200,10,1,I am just a run-of-the-mill white person. There isn't really anything special about me and my race/ethnicity. ,2,20,3,2,3,2,3,2,9753,,5eaccc54b1ad423481b84e92,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,carefulconsideration|intentionality|Access|FreeText|Cognitiveeffort|awareness|outsideinfluence|Efficiency|Speed|Gutreaction|Controllability
2020-09-02 17:44:49,2020-09-02 17:52:18,0,174.253.64.227,100,448,1,2020-09-02 17:52:19,R_rjXtbk7MqdjATaV,,,,,41.8040008544921875,-87.707000732421875,anonymous,EN,1,If the content of the post is something I can identity with or if it provokes an emotional response.,"If I know the person in real life, and our circle of friends.",1,1,5,6,6,7,1,2,2,1,2,2,4,5,4,4,5,6,30,5,1,"I am polish, french canadian, and native american.  On forms, i identify ad caucasian because I was was raised in a white household and am predominantly white.",1,35,3,2,2,2,2,2,7304,,5e51fb2705acdb2326d85c4a,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Gutreaction|Speed|outsideinfluence|Efficiency|carefulconsideration|Cognitiveeffort|Controllability|awareness|Access|intentionality|FreeText
2020-09-02 17:47:02,2020-09-02 17:52:29,0,73.110.217.70,100,327,1,2020-09-02 17:52:29,R_3M5Oojs1dUHNJdT,,,,,41.9459991455078125,-87.70330047607421875,anonymous,EN,1,"If it's a post from a good friend and it shows them having fun or being happy, I will like it. ",I would only add someone if I knew them well in the past or they are someone I currently know and like.,5,2,4,6,6,6,1,2,1,1,2,2,5,2,1,1,5,3,2,3,1,White,2,34,6,5,5,5,5,5,7518,,5c6dc6e309c2210001d5f93b,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Controllability|FreeText|Speed|Cognitiveeffort|Gutreaction|awareness|outsideinfluence|Efficiency|Access|carefulconsideration|intentionality
2020-09-02 17:43:40,2020-09-02 17:53:01,0,174.251.164.13,100,561,1,2020-09-02 17:53:02,R_3GCVXnbj4bekbzR,,,,,38.4207000732421875,-121.3623046875,anonymous,EN,1,Whether or not i actually know that person in real life. Then do i like that person? Do i want him or hernto know my personal business?,Depends on who is posting. Sone people get weirdly offended if you dont lile certain posts. A lot of people read too much into likes. I try not to like anything political or.controversial.,2,3,6,6,4,4,2,2,1,1,2,2,6,6,3,2,2,2,30,15,1,"I guess the typical answer from me is white/Caucasian. However, in person when someone asks about my race, i typically reply, italian. I'm not really sure why italian isnt considered ro be a branch of latin or latino. Seems to me like they are pretty closely related. But, i guess society as a whole just lumps me on with general white people",2,37,3,2,2,2,2,1,6686,,5f356e8b725d18529807d33c,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Cognitiveeffort|FreeText|Access|intentionality|outsideinfluence|Controllability|awareness|Speed|carefulconsideration|Gutreaction|Efficiency
2020-09-02 17:43:59,2020-09-02 17:54:06,0,173.168.20.101,100,606,1,2020-09-02 17:54:06,R_1i9hRBJACbWO8Nd,,,,,28.005096435546875,-82.11370086669921875,anonymous,EN,1,"I think about whether I do actually know the person somehow. If not, I dont bother adding them.","I think about if the post makes me laugh, or if it's something I agree with.",5,2,5,5,5,6,2,1,1,1,2,2,5,4,2,2,2,2,10,10,1,"I mostly consider myself white, but I am technically half cuban.",1,27,2,3,4,3,3,2,3350,,5dffe7b15a3425c08d0c4d93,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Access|outsideinfluence|Controllability|Gutreaction|Efficiency|Cognitiveeffort|Speed|FreeText|carefulconsideration|awareness|intentionality
2020-09-02 17:43:11,2020-09-02 17:54:14,0,188.80.42.141,100,663,1,2020-09-02 17:54:15,R_WcbvfDRpddPmUJb,,,,,41.007598876953125,-8.64129638671875,anonymous,EN,1,only if i know the person,I dont put like,2,5,4,1,4,7,1,2,1,1,4,7,4,2,5,7,4,3,3,3,1,"I am a white person, simple and just try to answer with the utmost seriousness to help with the inquiries that present me",1,24,3,2,2,2,2,1,7162,,5f3c52799a4b1dadf888e124,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,Efficiency|Access|carefulconsideration|FreeText|Controllability|awareness|outsideinfluence|Gutreaction|Cognitiveeffort|Speed|intentionality
2020-09-02 17:49:17,2020-09-02 17:54:37,0,12.174.119.186,100,320,1,2020-09-02 17:54:38,R_1gGtWpqvlrJGlIl,,,,,38.6432952880859375,-90.25749969482421875,anonymous,EN,1,If it makes me laugh or I find it relatable ,If I feel like I do actually know them and have worked with them or spent time with them ,5,5,6,6,3,3,1,2,2,2,3,3,5,5,2,2,6,6,1,4,1,Caucasian,2,28,8,3,3,3,3,3,3431,,5c89b77c65b4d70001b40ac3,like,like a post,pymk,add a friend from the 'People You May Know' recommendation,,,FL_12,Access|intentionality|Controllability|FreeText|Speed|awareness|carefulconsideration|Efficiency|Cognitiveeffort|outsideinfluence|Gutreaction
2020-09-02 17:49:04,2020-09-02 17:54:59,0,99.119.20.255,100,355,1,2020-09-02 17:54:59,R_3PChuacBig7PRFB,,,,,33.6748046875,-117.908905029296875,anonymous,EN,1,"I only add someone on Facebook if I have actively communicated with them relatively recently, I.E. in the last year, and if I know them relatively well.","Usually I will only like a post if the person posting it is a close friend and they are making a post about something important, such as a new job or place of residence.",2,2,5,6,6,6,2,2,1,1,2,1,3,6,2,2,3,2,5,10,1,"I'm of British descent, so I'm really just caucasian/white.",1,24,4,2,2,2,2,1,5221,,5f5001277b8dfb1519a1d9b7,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,intentionality|carefulconsideration|awareness|Controllability|FreeText|Cognitiveeffort|Efficiency|Gutreaction|outsideinfluence|Access|Speed
2020-09-02 17:46:59,2020-09-02 17:55:22,0,75.110.78.127,100,503,1,2020-09-02 17:55:22,R_2RXqdRQ4H1IWwTI,,,,,35.37420654296875,-77.41729736328125,anonymous,EN,1,If I know them personally and we used to be have a relationship I will add them. If I don’t know them then I don’t even think about adding them.,"If so like it I will usually heart it, and it also depends on if it someone I feel comfortable liking their post.",1,1,2,3,7,7,1,1,1,1,1,1,7,7,1,1,7,7,5,1,2,I am a black American ,2,35,3,1,1,1,1,1,5861,,5af12b37aec2b600010a8f4c,pymk,add a friend from the 'People You May Know' recommendation,like,like a post,,,FL_13,awareness|Gutreaction|Speed|Efficiency|carefulconsideration|Cognitiveeffort|Access|outsideinfluence|Controllability|intentionality|FreeText
