participant_id,order,preference (1-7),familiarity (1-7),relationship,post_tenure,tenure_units,human (y/n),nf_group (y/n),unrest (y/n),common_friends,race_RA_1,race_RA_2,gender,Notes,,,
3406,18,6,6,Friend,2,Days,1,0,0,80,Black or African American,,Female,"""_____ and 3 others commented""",,,
3406,19,5,7,Family,3,Hours,1,1,0,3,Black or African American,,Female,,,,
3406,20,5,7,Friend,7,Hours,1,0,0,42,Black or African American,,Male,Person C,,,
3406,21,6,6,Friend,2,Hours,1,0,0,56,Black or African American,,Female,,,,
3406,22,4,5,Acquaintance,3,Hours,1,0,0,72,Black or African American,,Female,,,,
3406,23,5,7,Friend,2,Days,1,0,0,42,Black or African American,,Male,Person C,,,
3406,24,6,7,Friend,6,Hours,1,0,0,163,Black or African American,,Female,Person B,,,
3406,25,5,7,Family,2,Hours,1,0,0,44,Black or African American,,Female,,,,
3406,26,6,7,Friend,3,Days,1,0,0,160,Black or African American,,Female,Bundeld Post - 2 poeple shared a post,,,
3406,27,4,7,Friend,3,Hours,1,0,0,121,Black or African American,,Female,,,,
3406,28,5,7,Friend,9,Hours,1,0,0,42,Black or African American,,Male,Person C,,,
3406,29,7,7,Friend,2,Hours,1,0,0,79,Black or African American,,Female,,,,
3406,30,6,7,Friend,1,Hours,1,0,0,71,Black or African American,,Female,,,,
2479,1,7,,,7,Hours,0,0,0,,,,,Thrillest: Bundeld Post - Participant marked this page as 'see first',,,
2479,2,6,7,Family,5,Hours,1,0,0,38,White,,Female,,,,
2479,3,7,7,Friend,1,Hours,1,0,0,,White,,Female,"Person A; Common Friends - The poster made their friends list private, so the data wasn't accessible",,,
2479,4,7,7,Friend,1,Hours,1,0,0,2,Black or African American,,Female,Participant reacted and comment,,,
2479,5,7,7,Friend,6,Hours,1,0,0,1,Black or African American,,Male,Person B,,,
2479,6,7,7,Family,24,Minutes,1,0,0,18,Black or African American,,Female,,,,
2479,7,7,7,Friend,7,Hours,1,1,0,1,Black or African American,,Male,Person B,,,
2479,8,4,5,Acquaintance,49,Minutes,1,0,0,4,White,,Female,,,,
2479,9,5,6,Friend,2,Days,1,0,0,8,Black or African American,,Female,,,,
2479,10,7,7,Friend,3,Hours,1,0,0,27,Black or African American,,Female,,,,
2479,11,7,7,Friend,5,Hours,1,0,0,,White,,Female,Person A; Common Friends hidden,,,
2479,12,7,7,Friend,7,Hours,1,0,0,2,Black or African American,,Female,,,,
2479,13,4,5,Friend,2,Days,1,0,0,0,White,,Female,,,,
2479,14,4,5,Acquaintance,3,Hours,1,0,0,7,,,,Person C; Unidentifiable,,,
2479,15,1,3,Acquaintance,1,Hours,1,0,0,4,Black or African American,,Male,,,,
2479,16,4,5,Acquaintance,6,Hours,1,0,0,1,,,,Unidentifiable,,,
2479,17,7,,,16,Hours,0,0,0,,,,,,,,
2479,18,7,7,Family,2,Days,1,0,0,67,Black or African American,,Female,,,,
2479,19,1,4,Acquaintance,6,Hours,1,0,0,22,Black or African American,,Female,,,,
2479,20,7,5,Friend,2,Hours,1,0,0,1,White,,Female,,,,
2479,21,4,6,Friend,6,Hours,1,0,0,10,Black or African American,,Female,,,,
2479,22,4,5,Friend,1,Days,1,0,0,24,Black or African American,,Female,,,,
2479,23,4,5,Friend,19,Minutes,1,0,0,45,Black or African American,,Female,,,,
2479,24,7,7,Friend,2,Hours,1,0,0,,White,,Female,,,,
2479,25,4,5,Friend,18,Minutes,1,0,0,24,Black or African American,,Female,,,,
2479,26,7,7,Family,,,1,0,0,67,Black or African American,,Female,"Tenure - Original post was made on May 25th, 2007 ",,,
2479,27,7,5,Family,1,Days,1,0,0,8,Black or African American,,Female,,,,
2479,28,7,6,Friend,6,Hours,1,0,0,10,Black or African American,,Female,,,,
2479,29,1,5,Acquaintance,6,Hours,1,0,0,0,,,,Person C; Unidentifiable,,,
2479,30,7,7,Friend,17,Hours,1,0,0,,White,,Female,Person A; Common Friends hidden,,,
7299,1,7,7,Friend,3,Hours,1,0,0,22,Hispanic,,Female,,,,
7299,2,5,7,Friend,4,Days,1,0,0,17,Hispanic,,Female,,,,
7299,3,4,7,Friend,19,Hours,1,0,0,22,Hispanic,,Female,,,,
7299,4,4,6,Friend,18,Hours,1,1,0,7,White,,Female,,,,
7299,5,4,7,Friend,5,Days,1,0,0,17,Hispanic,,Female,,,,
7299,6,6,4,Acquaintance,2,Days,1,0,0,2,White,,Female,,,,
7299,7,6,2,Don't know personally,5,Days,1,0,0,5,Hispanic,,Female,,,,
7299,8,4,5,Acquaintance,2,Days,1,0,0,15,Hispanic,,Male,,,,
7299,9,7,7,Family,5,Days,1,0,0,22,Hispanic,,Female,,,,
7299,10,5,5,Acquaintance,4,Days,1,0,0,7,Asian,,Female,,,,
7299,11,6,7,Friend,3,Days,1,0,0,22,Hispanic,,Female,,,,
7299,12,6,6,Friend,3,Days,1,0,0,7,Black or African American,,Female,,,,
7299,13,6,5,Acquaintance,10,Hours,1,0,0,5,Hispanic,,Female,,,,
7299,14,2,2,Don't know personally,4,Days,1,0,0,13,Hispanic,,Female,,,,
7299,15,5,4,Acquaintance,2,Days,1,0,0,9,Hispanic,,Female,,,,
7299,16,3,5,Acquaintance,2,Days,1,0,0,19,Hispanic,,Female,,,,
7299,17,2,7,Acquaintance,1,Days,1,0,0,22,Hispanic,,Female,,,,
7299,18,4,5,Acquaintance,3,Days,1,0,0,11,Hispanic,,Female,,,,
7299,19,2,5,Acquaintance,19,Minutes,1,0,0,9,Hispanic,,Female,,,,
7299,20,6,5,Acquaintance,3,Days,1,0,0,7,Hispanic,,Male,,,,
7299,21,2,,,5,Days,0,0,0,0,,,,,,,
7299,22,7,7,Friend,1,Days,1,0,0,22,Hispanic,,Female,,,,
7299,23,6,6,Friend,22,Hours,1,1,0,10,Hispanic,,Male,,,,
7299,24,4,5,Acquaintance,1,Days,1,0,0,5,Hispanic,,Female,,,,
7299,25,2,7,Friend,2,Days,1,0,0,22,Hispanic,,Female,,,,
7299,26,6,6,Friend,13,Minutes,1,0,0,4,Hispanic,,Female,,,,
7299,27,2,7,Friend,4,Days,1,0,0,7,Hispanic,,Male,,,,
7299,28,2,2,Don't know personally,6,Days,1,0,0,14,Hispanic,,Female,,,,
7299,29,5,7,Friend,3,Days,1,0,0,22,Hispanic,,Male,,,,
7299,30,6,3,Acquaintance,1,Days,1,0,0,23,Hispanic,,Female,,,,
9029,1,4,1,Don't know personally,1,Hours,1,1,0,0,Black or African American,,Female,,,,
9029,2,5,4,Acquaintance,1,Hours,1,0,0,0,Black or African American,,Female,,,,
9029,3,3,,,2,Hours,0,0,0,0,,,,,,,
9029,4,4,1,Don't know personally,1,Hours,1,0,0,0,Black or African American,,Female,,,,
9029,5,6,,,1,Hours,0,0,0,0,,,,,,,
9029,6,3,1,Don't know personally,1,Days,1,1,0,0,Black or African American,,Male,,,,
9029,7,1,1,Don't know personally,21,Hours,1,1,0,0,Black or African American,,Male,,,,
9029,8,4,4,Acquaintance,21,Hours,1,0,0,9,Black or African American,,Female,,,,
9029,9,3,,,11,Hours,0,0,0,0,,,,,,,
9029,10,3,5,Acquaintance,19,Hours,1,0,1,153,Black or African American,,Male,,,,
9029,11,1,5,Acquaintance,21,Hours,1,0,0,7,Black or African American,,Male,,,,
9029,12,2,4,Acquaintance,18,Hours,1,0,0,256,Black or African American,,Female,,,,
9029,13,1,3,Acquaintance,22,Hours,1,0,0,242,Black or African American,,Female,,,,
9029,14,2,,,1,Days,0,0,0,0,,,,,,,
9029,15,2,1,Don't know personally,1,Hours,1,1,0,0,Black or African American,,Female,,,,
9029,16,4,1,Don't know personally,3,Days,1,1,0,0,Black or African American,,Male,,,,
9029,17,5,1,Don't know personally,2,Minutes,1,0,0,1,Black or African American,,Female,,,,
9029,18,6,4,Acquaintance,22,Hours,1,0,0,242,Black or African American,,Female,,,,
9029,19,6,4,Acquaintance,3,Hours,1,0,0,246,Black or African American,,Male,,,,
9029,20,3,2,Don't know personally,1,Hours,1,0,0,85,Black or African American,,Male,,,,
9029,21,2,,,22,Hours,0,0,0,0,,,,,,,
