participant_id,order,react,comment,post_tenure,tenure_units,human (y/n),race,gender,notes,manual_diag
7511,5,1,0,4,days,1,white,male,,0
7511,6,1,0,5,days,1,white,male,,0
7511,7,1,0,5,days,1,hispanic,female,,0
7511,8,1,0,5,days,1,white,female,,0
7511,9,1,0,6,days,1,white,male,,0
7511,10,1,0,9,days,1,white,male,,0
6696,1,1,0,22,days,1,hispanic,female,,0
6696,2,1,0,23,days,1,white,female,,0
6696,3,1,0,25,days,1,asian,female,,0
6696,4,1,0,30,days,1,asian,female,,0
6696,5,1,0,54,days,1,asian,female,,0
6696,6,1,0,28,days,0,,,,0
6696,7,1,0,34,days,1,asian,male,,0
6696,8,1,0,34,days,1,asian,female,,0
6696,9,1,0,47,days,1,asian,male,,0
6696,10,1,0,50,days,1,asian,female,,0
3818,1,1,0,1,days,1,white,female,,0
3818,2,1,0,1,days,1,white,female,,0
3818,3,1,0,1,days,1,asian,female,,0
3818,4,1,0,5,days,1,asian,female,,0
3818,5,1,0,4,days,1,asian,female,,0
3818,6,1,0,4,days,1,asian,female,,0
3818,7,1,0,10,days,0,,,,0
3818,8,1,0,20,days,1,asian,male,,0
3818,9,1,0,11,days,1,asian,female,skipped one bc it wasn't loading,0
3818,10,1,0,12,days,1,asian,female,,0
